Order,Fastq filename,Our sample name,sample,Cross,Treatment,Zoox,Tank,Treatment,58daysHeatSurv
189,108_S90_L005_R1_001.fastq.gz,108,108,BKxBK,SEDT2A,SED,T2,Ambient,14.28571
190,109_S91_L003_R1_001.fastq.gz,109,109,LSxLS,SEDT2A,SED,T2,Ambient,91.666
191,109_S91_L004_R1_001.fastq.gz,109,109,LSxLS,SEDT2A,SED,T2,Ambient,91.666
192,109_S91_L005_R1_001.fastq.gz,109,109,LSxLS,SEDT2A,SED,T2,Ambient,91.666
193,110_S92_L003_R1_001.fastq.gz,110,110,DRxDR,SEDT2A,SED,T2,Ambient,96.42857
194,110_S92_L004_R1_001.fastq.gz,110,110,DRxDR,SEDT2A,SED,T2,Ambient,96.42857
195,110_S92_L005_R1_001.fastq.gz,110,110,DRxDR,SEDT2A,SED,T2,Ambient,96.42857
196,111_S93_L003_R1_001.fastq.gz,111,111,BKxBK,SEDT1A,SED,T1,Ambient,NA
197,111_S93_L004_R1_001.fastq.gz,111,111,BKxBK,SEDT1A,SED,T1,Ambient,NA
198,111_S93_L005_R1_001.fastq.gz,111,111,BKxBK,SEDT1A,SED,T1,Ambient,NA
199,112_S94_L003_R1_001.fastq.gz,112,112,DRxDR,SEDT1A,SED,T1,Ambient,72.72727
200,112_S94_L004_R1_001.fastq.gz,112,112,DRxDR,SEDT1A,SED,T1,Ambient,72.72727
201,112_S94_L005_R1_001.fastq.gz,112,112,DRxDR,SEDT1A,SED,T1,Ambient,72.72727
202,113_S95_L003_R1_001.fastq.gz,113,113,SBxSB,SEDT1A,SED,T1,Ambient,100
203,113_S95_L004_R1_001.fastq.gz,113,113,SBxSB,SEDT1A,SED,T1,Ambient,100
204,113_S95_L005_R1_001.fastq.gz,113,113,SBxSB,SEDT1A,SED,T1,Ambient,100
205,114_S96_L003_R1_001.fastq.gz,114,114,LSxLS,SEDT1A,SED,T1,Ambient,75
206,114_S96_L004_R1_001.fastq.gz,114,114,LSxLS,SEDT1A,SED,T1,Ambient,75
207,114_S96_L005_R1_001.fastq.gz,114,114,LSxLS,SEDT1A,SED,T1,Ambient,75
208,115_S97_L003_R1_001.fastq.gz,115,115,DRxDR,SEDT3A,SED,T3,Ambient,88.57143
209,115_S97_L004_R1_001.fastq.gz,115,115,DRxDR,SEDT3A,SED,T3,Ambient,88.57143
210,115_S97_L005_R1_001.fastq.gz,115,115,DRxDR,SEDT3A,SED,T3,Ambient,88.57143
211,116_S98_L003_R1_001.fastq.gz,116,116,BKxBK,SEDT3A,SED,T3,Ambient,15.38462
212,116_S98_L004_R1_001.fastq.gz,116,116,BKxBK,SEDT3A,SED,T3,Ambient,15.38462
213,116_S98_L005_R1_001.fastq.gz,116,116,BKxBK,SEDT3A,SED,T3,Ambient,15.38462
214,117_S99_L003_R1_001.fastq.gz,117,117,SBxSB,SEDT3A,SED,T3,Ambient,100
215,117_S99_L004_R1_001.fastq.gz,117,117,SBxSB,SEDT3A,SED,T3,Ambient,100
216,117_S99_L005_R1_001.fastq.gz,117,117,SBxSB,SEDT3A,SED,T3,Ambient,100
217,125_S283_L006_R1_001.fastq.gz,125,125,DRxSB,SST1H,SS,T1,Hot,100
218,125_S283_L007_R1_001.fastq.gz,125,125,DRxSB,SST1H,SS,T1,Hot,100
219,125_S283_L008_R1_001.fastq.gz,125,125,DRxSB,SST1H,SS,T1,Hot,100
220,126_S284_L006_R1_001.fastq.gz,126,126,CUxDR,D1T2H,D1,T2,Ambient,100
221,126_S284_L007_R1_001.fastq.gz,126,126,CUxDR,D1T2H,D1,T2,Ambient,100
222,126_S284_L008_R1_001.fastq.gz,126,126,CUxDR,D1T2H,D1,T2,Ambient,100
223,129_S285_L006_R1_001.fastq.gz,129,129,DRxSB,D1T2H,D1,T2,Ambient,100
224,129_S285_L007_R1_001.fastq.gz,129,129,DRxSB,D1T2H,D1,T2,Ambient,100
225,129_S285_L008_R1_001.fastq.gz,129,129,DRxSB,D1T2H,D1,T2,Ambient,100
226,130_S286_L006_R1_001.fastq.gz,130,130,LSxCU,SEDT2H,SED,T2,Hot,100
227,130_S286_L007_R1_001.fastq.gz,130,130,LSxCU,SEDT2H,SED,T2,Hot,100
228,130_S286_L008_R1_001.fastq.gz,130,130,LSxCU,SEDT2H,SED,T2,Hot,100
229,131_S287_L006_R1_001.fastq.gz,131,131,CUxDR,SEDT2H,SED,T2,Hot,0
230,131_S287_L007_R1_001.fastq.gz,131,131,CUxDR,SEDT2H,SED,T2,Hot,0
231,131_S287_L008_R1_001.fastq.gz,131,131,CUxDR,SEDT2H,SED,T2,Hot,0
232,134_S100_L003_R1_001.fastq.gz,134,134,DRxCU,C1T1A,C1,T1,Ambient,100
233,134_S100_L004_R1_001.fastq.gz,134,134,DRxCU,C1T1A,C1,T1,Ambient,100
234,134_S100_L005_R1_001.fastq.gz,134,134,DRxCU,C1T1A,C1,T1,Ambient,100
235,135_S101_L003_R1_001.fastq.gz,135,135,DRxSB,C1T1A,C1,T1,Ambient,100
236,135_S101_L004_R1_001.fastq.gz,135,135,DRxSB,C1T1A,C1,T1,Ambient,100
237,135_S101_L005_R1_001.fastq.gz,135,135,DRxSB,C1T1A,C1,T1,Ambient,100
238,136_S102_L003_R1_001.fastq.gz,136,136,CUxDR,C1T1A,C1,T1,Ambient,75
239,136_S102_L004_R1_001.fastq.gz,136,136,CUxDR,C1T1A,C1,T1,Ambient,75
240,136_S102_L005_R1_001.fastq.gz,136,136,CUxDR,C1T1A,C1,T1,Ambient,75
241,137_S103_L003_R1_001.fastq.gz,137,137,LSxCU,C1T1A,C1,T1,Ambient,87.5
242,137_S103_L004_R1_001.fastq.gz,137,137,LSxCU,C1T1A,C1,T1,Ambient,87.5
243,137_S103_L005_R1_001.fastq.gz,137,137,LSxCU,C1T1A,C1,T1,Ambient,87.5
244,138_S104_L003_R1_001.fastq.gz,138,138,CUxDR,C1T2A,C1,T2,Ambient,100
245,138_S104_L004_R1_001.fastq.gz,138,138,CUxDR,C1T2A,C1,T2,Ambient,100
246,138_S104_L005_R1_001.fastq.gz,138,138,CUxDR,C1T2A,C1,T2,Ambient,100
247,139_S105_L003_R1_001.fastq.gz,139,139,DRxSB,C1T2A,C1,T2,Ambient,100
248,139_S105_L004_R1_001.fastq.gz,139,139,DRxSB,C1T2A,C1,T2,Ambient,100
249,139_S105_L005_R1_001.fastq.gz,139,139,DRxSB,C1T2A,C1,T2,Ambient,100
250,140_S106_L003_R1_001.fastq.gz,140,140,DRxCU,C1T2A,C1,T2,Ambient,100
251,140_S106_L004_R1_001.fastq.gz,140,140,DRxCU,C1T2A,C1,T2,Ambient,100
252,140_S106_L005_R1_001.fastq.gz,140,140,DRxCU,C1T2A,C1,T2,Ambient,100
253,141_S107_L003_R1_001.fastq.gz,141,141,LSxCU,C1T2A,C1,T2,Ambient,50
254,141_S107_L004_R1_001.fastq.gz,141,141,LSxCU,C1T2A,C1,T2,Ambient,50
255,141_S107_L005_R1_001.fastq.gz,141,141,LSxCU,C1T2A,C1,T2,Ambient,50
256,142_S108_L003_R1_001.fastq.gz,142,142,CUxDR,C1T3A,C1,T3,Ambient,100
257,142_S108_L004_R1_001.fastq.gz,142,142,CUxDR,C1T3A,C1,T3,Ambient,100
258,142_S108_L005_R1_001.fastq.gz,142,142,CUxDR,C1T3A,C1,T3,Ambient,100
259,143_S109_L003_R1_001.fastq.gz,143,143,DRxCU,C1T3A,C1,T3,Ambient,NA
260,143_S109_L004_R1_001.fastq.gz,143,143,DRxCU,C1T3A,C1,T3,Ambient,NA
261,143_S109_L005_R1_001.fastq.gz,143,143,DRxCU,C1T3A,C1,T3,Ambient,NA
262,144_S110_L003_R1_001.fastq.gz,144,144,LSxCU,C1T3A,C1,T3,Ambient,76.9
263,144_S110_L004_R1_001.fastq.gz,144,144,LSxCU,C1T3A,C1,T3,Ambient,76.9
264,144_S110_L005_R1_001.fastq.gz,144,144,LSxCU,C1T3A,C1,T3,Ambient,76.9
265,145_S111_L003_R1_001.fastq.gz,145,145,DRxSB,C1T3A,C1,T3,Ambient,NA
